Iteration	Posterior	Likelihood	Prior	beta_scale	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
810	-95.12209	-363.247	268.1249	1.214243	0.538989	0.147802	0.216878	0.0963313	1.718659	1.741946	0.180612	0.502242	0.144779	0.172367
816	-99.96413	-365.9807	266.0166	4.617577	0.465283	0.288028	0.166052	0.0806371	1.656953	1.741946	0.20894	0.275579	0.304858	0.210623
822	-98.67457	-367.1973	268.5227	1.328761	0.277753	0.227907	0.462099	0.0322405	1.807598	1.299003	0.0991026	0.875286	0.00739241	0.0182191
828	-118.6608	-386.4088	267.748	2.528284	0.381686	0.0938715	0.469272	0.0551712	1.444231	1.465486	0.529098	0.37884	0.0847618	0.00730031
834	-118.1934	-385.4864	267.293	3.620814	0.181457	0.49691	0.184187	0.137446	1.748336	1.051121	0.0365356	0.357483	0.603924	0.00205778
840	-114.7389	-382.6665	267.9276	1.616207	0.224336	0.26869	0.207415	0.299559	1.744159	1.610798	0.0359995	0.352237	0.595062	0.0167017
846	-130.8609	-396.4196	265.5587	5.713212	0.249148	0.346393	0.0686227	0.335836	1.753875	1.668137	0.0216481	0.0712605	0.811907	0.0951841
852	-127.815	-395.8423	268.0273	1.468494	0.210304	0.230258	0.0481611	0.511276	1.623135	1.716031	0.438543	0.0978657	0.34325	0.120341
858	-108.2958	-374.415	266.1192	3.917771	0.27517	0.433286	0.192547	0.0989977	1.377675	2.089655	0.522633	0.0315759	0.409067	0.0367242
864	-109.9055	-376.51	266.6045	1.891179	0.0316608	0.401066	0.362902	0.204371	1.295293	2.631915	0.2359	0.0142523	0.639622	0.110226
870	-119.4521	-379.6759	260.2238	9.357737	0.0678542	0.130147	0.296866	0.505134	1.1239	4.549915	0.0135882	0.0207004	0.704521	0.261191
876	-114.9586	-379.8556	264.8969	4.722001	0.0664879	0.060309	0.639128	0.234075	1.298639	2.671008	0.32882	0.0355943	0.126571	0.509015
